LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
"d $350,000-1 million",1174 COMMERCE TRANS CORP,3947 Provost Ave,Bronx,NY,10466,813910,Corporation,Unanswered,Unanswered,Unanswered,,0,04/27/2020,Sterling National Bank,NY-16
"d $350,000-1 million",118 CHURCHILL AVENUE CORP,12 Industrial Drive,NEW BRUNSWICK,NJ,8901,423930,Corporation,Unanswered,Unanswered,Unanswered,,61,04/10/2020,"JPMorgan Chase Bank, National Association",NJ-06
"e $150,000-350,000","118 FULTON OPERATING, LLC",118 Fulton,GRAND RAPIDS,MI,49503,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/13/2020,West Michigan Community Bank,MI-03
"e $150,000-350,000",1180 RAYMOND URBAN RENEWAL LLC,3200 Park Center Dr Ste 600,COSTA MESA,CA,92626,531110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17,04/28/2020,"Bank of America, National Association",CA-46
"e $150,000-350,000",1185 COMEDY INC.,1626 BROADWAY 0.0,NEW YORK,NY,10019,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,43,04/10/2020,"JPMorgan Chase Bank, National Association",NY-10
a $5-10 million,1186 BROADWAY RESTAURANT LLC,30 W 26th Street Floor 12,NEW YORK,NY,10010,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,417,04/15/2020,BMO Harris Bank National Association,NY-12
b $2-5 million,1186 BROADWAY TENANT LLC,140 BROADWAY,NEW YORK,NY,10005,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,96,04/28/2020,"HSBC Bank USA, National Association",NY-10
"e $150,000-350,000",1187 UPPER JAMES OF FLORIDA LLC,7150 N TAMIAMI TRL,SARASOTA,FL,34243,721110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,25,04/10/2020,AmeriState Bank,FL-16
"e $150,000-350,000",1188 N. DYSART ROAD,1188 NORTH DYSART RD,GOODYEAR,AZ,85395,721110,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,28,04/15/2020,First International Bank & Trust,AZ-08
"e $150,000-350,000",119 7TH AVENUE CAFE CORP.,54 W 21ST ST RM 908,NEW YORK,NY,10010,722511,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,18,04/27/2020,"JPMorgan Chase Bank, National Association",NY-12
"d $350,000-1 million",119 7TH AVENUE CAFETERIA LLC,119 7TH AVENUE,NEW YORK,NY,10011,722511,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,95,04/13/2020,KeyBank National Association,NY-10
"d $350,000-1 million",119 PROPERTIES LLC,688 E. Main Street,CENTREVILLE,MI,49032,423840,Corporation,Unanswered,Male Owned,Non-Veteran,,37,04/09/2020,TCF National Bank,MI-06
"e $150,000-350,000",119 WEST 45TH ST HOTEL INC.,119 W 45th St,NEW YORK,NY,10036,722410,Corporation,Unanswered,Unanswered,Unanswered,,59,05/01/2020,Fountainhead SBF LLC,NY-12
b $2-5 million,1199 SEIU LEAGUE TRAINING AND UPGRADING FUND,330 West 42nd Street,NEW YORK,NY,10036,525120,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,345,04/15/2020,"TD Bank, National Association",NY-12
"d $350,000-1 million",1199-EMPLOYER CHILD CARE CORPORATION,330 west 42nd street 32nd floor,NEW YORK,NY,10036,624110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,91,04/15/2020,"TD Bank, National Association",NY-12
"e $150,000-350,000",11TH & BAY VENTURES INC,Bay Ave,Columbus,GA,31901,722511,Corporation,Unanswered,Unanswered,Unanswered,,34,05/06/2020,Synovus Bank,GA-02
"d $350,000-1 million",11TH HOUR BREWING LLC,357 Dayton Dr,WAYNESVILLE,NC,28786,312120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,74,04/09/2020,First-Citizens Bank & Trust Company,NC-11
"d $350,000-1 million","11TH HOUR BUSINESS SOLUTIONS, LLC",9424 SOUTHRIDGE PARK CT Suite 800,ORLANDO,FL,32819,561920,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,55,04/09/2020,One Florida Bank,FL-10
c $1-2 million,11TH HOUR SEARCH LLC,3110 Fairview Park Drive #1200,FALLS CHURCH,VA,22042,561330,Corporation,Unanswered,Unanswered,Unanswered,,51,04/13/2020,John Marshall Bank,VA-08
"d $350,000-1 million",11TH HOUR STAFFING,4130 GIBSON DR Suite D,TIPP CITY,OH,45371,561320,Corporation,Unanswered,Unanswered,Unanswered,,103,04/07/2020,Wright Patt CU Inc,OH-08
"e $150,000-350,000",11TH PROPERTY GROUP LLC,1321 Rhode Island Ave NW,Washington,DC,20005,531390,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/12/2020,Cross River Bank,DC-00
"d $350,000-1 million",11TH ST WORKSHOP INC,306 E 11th St Apt 1C,NEW YORK,NY,10003,541990,Corporation,Unanswered,Unanswered,Unanswered,,105,04/15/2020,"Bank of America, National Association",NY-12
"d $350,000-1 million",11TH ST WORKSHOP LA INC,8062 San Fernando Road,Los Angeles,CA,91352,238990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,35,04/27/2020,American Express National Bank,CA-28
"d $350,000-1 million",11TH STREET DINER AND 1065 WAS,1065 WASHINGTON AVE,MIAMI BEACH,FL,33139,722511,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,64,04/29/2020,Ocean Bank,FL-24
"e $150,000-350,000",11TH STREET LLC,353 Village Raod,VIRGINIA BEACH,VA,23454,531312,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/10/2020,Towne Bank,VA-02
c $1-2 million,"12 & 12, INC.",6333 E. skelly drive,TULSA,OK,74135,624310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,168,04/04/2020,BancFirst,OK-01
"e $150,000-350,000",12 COLES,12 coles St,Jersey City,NJ,7302,722511,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,50,04/11/2020,Savoy Bank,NJ-08
"e $150,000-350,000","12 CROWNS, INC.",111 PACIFICA STE 160,IRVINE,CA,92618,541618,Corporation,Unanswered,Unanswered,Unanswered,,12,05/03/2020,"Bank of America, National Association",CA-45
"e $150,000-350,000",12 CUTS STEAK HOUSE LLC,18010 DALLAS PKWY,DALLAS,TX,75287,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32,04/12/2020,Comerica Bank,TX-03
"e $150,000-350,000",12 ENTERPRISES INC.,166 Outre St.,TAZEWELL,VA,24651,447110,Corporation,Unanswered,Unanswered,Unanswered,,48,04/29/2020,The National Bank of Blacksburg,VA-09
"e $150,000-350,000","12 GAUGE CONSTRUCTION, LLC",W1223 Linden Rd Ste. 2,IXONIA,WI,53036,236220,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,9,04/09/2020,Baraboo State Bank,WI-05
"e $150,000-350,000",12 NORTH PARK AVE CORP,12 North Park Avenue,Rockville Centre,NY,11570,722511,Corporation,Unanswered,Male Owned,Non-Veteran,,29,04/28/2020,"Citibank, N.A.",NY-04
"d $350,000-1 million",12 OAKS MANAGEMENT SERVICES INC,12700 Park Central Suite 300,Dallas,TX,75251,623312,Corporation,Unanswered,Unanswered,Unanswered,,23,04/28/2020,Third Coast Bank SSB,TX-32
"e $150,000-350,000","12 OAKS SERVICES, LLC",970 CANTON ST,ROSWELL,GA,30075,812930,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,43,04/10/2020,"Bank of America, National Association",GA-06
"e $150,000-350,000","12 POINT SIGNWORKS, LLC",1120 Lakeview Dr.,FRANKLIN,TN,37067,339950,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,04/11/2020,KeyBank National Association,TN-07
"e $150,000-350,000",12 POINTS CONSULTING CORP.,1613 MAIN AVE,WEST FARGO,ND,58078,541690,Corporation,White,Female Owned,Non-Veteran,,16,04/07/2020,Aspire Bank,ND-00
"e $150,000-350,000",12 SOUTH LLC,26595 Verbena,Mission Viejo,CA,92691,621498,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,04/14/2020,"Readycap Lending, LLC",CA-45
"e $150,000-350,000","12 SOUTH TAP ROOM & GRILL, INC",2318 12TH AVE S,NASHVILLE,TN,37204,722511,Subchapter S Corporation,White,Male Owned,Non-Veteran,,36,04/09/2020,Synovus Bank,TN-05
"e $150,000-350,000",12 SPIES PROPERTIES LLC,3340 Peachtree Road N E,ATLANTA,GA,30326,531110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,07/29/2020,"BSD Capital, LLC dba Lendistry",GA-05
"e $150,000-350,000","12 STONES CONSTRUCTION, LLC",5143 Millwood Drive,ACWORTH,GA,30101,238990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,04/28/2020,Community Bank of Pickens County,GA-11
"e $150,000-350,000",12 TROY LLC,12 Second St,TROY,NY,12180,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,43,04/12/2020,KeyBank National Association,NY-20
"d $350,000-1 million","12 VENTURES, LLC",761 Garden View Ct Ste 201,Encinitas,CA,92024,531120,Limited  Liability Company(LLC),Unanswered,Unanswered,Non-Veteran,,209,04/14/2020,First Republic Bank,CA-49
"e $150,000-350,000",12 W LIBERTY LLC,5 W Liberty Street,SAVANNAH,GA,31401,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,43,04/14/2020,Synovus Bank,GA-01
"d $350,000-1 million",12 W OGLETHORPE INC,155 East BAY ST,CHARLESTON,SC,29401,722511,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,58,04/08/2020,The Commercial Bank,SC-01
"e $150,000-350,000",12-PAC,925 Commerce Drive,BLACK RIVER FALLS,WI,54615,722513,Subchapter S Corporation,White,Male Owned,Non-Veteran,,19,04/04/2020,Citizens Community Federal National Association,WI-03
"e $150,000-350,000",12:2 LOGISTICS INC,5624 118th Ave SE,BELLEVUE,WA,98006,492110,Corporation,White,Male Owned,Non-Veteran,,16,04/04/2020,Stearns Bank National Association,WA-09
"e $150,000-350,000",12:34 MICRO TECHNOLOGIES INC,119 Reese Ave,Lancaster,PA,17602,541511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,04/28/2020,Northwest Bank,PA-11
"d $350,000-1 million",12. 18 SAN CARLOS OPERATIONS LLC,150 E 50TH ST,NEW YORK,NY,10022,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/29/2020,Signature Bank,NY-12
"e $150,000-350,000","12.5.33 OF SEVERNA PARK, LLC",552 Ritchie Highway,SEVERNA PARK,MD,21146,722511,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,75,04/28/2020,Sandy Spring Bank,MD-04
"d $350,000-1 million",120 85 LLC,10925 E 120TH AVE,HENDERSON,CO,80640,212321,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,42,04/05/2020,BBVA USA,CO-07
"e $150,000-350,000",120 EAGLEVIEW BLVD LLC,120 Eagleview Blvd,EXTON,PA,19341,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,04/12/2020,"TD Bank, National Association",PA-06
"e $150,000-350,000",120 LOMBARD INC.,120 LOMBARD ST,PHILADELPHIA,PA,19147,722511,Corporation,Unanswered,Unanswered,Unanswered,,22,04/10/2020,"TD Bank, National Association",PA-03
"d $350,000-1 million",120 MP LLC,120 W 44TH ST FRNT 3,NEW YORK,NY,10036,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,50,05/03/2020,"Bank of America, National Association",NY-12
"d $350,000-1 million",120 N MAIN STREET MEAT CORP,120 N. Main St,FREEPORT,NY,11520,445110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,89,04/10/2020,ConnectOne Bank,NY-04
"d $350,000-1 million",120 RIDER AVENUE OPERATING COMPANY LP,120 RIDER AVE,LANCASTER,PA,17603,623110,Partnership,Unanswered,Male Owned,Unanswered,,74,04/27/2020,Bank Leumi USA,PA-11
"e $150,000-350,000",120 RIDER AVENUE PCH OPERATING COMPANY LP,120 Rider Avenue,LANCASTER,PA,17603,623110,Limited Liability Partnership,Unanswered,Male Owned,Unanswered,,34,04/27/2020,Bank Leumi USA,PA-11
"e $150,000-350,000",120 U REST. LLC,61 7TH AVE S,NEW YORK,NY,10014,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/29/2020,Signature Bank,NY-10
"d $350,000-1 million","120 WATER AUDIT, INC.","250 S Elm Street, IN, 46077, US,",Zionsville,IN,46077,511210,Corporation,Unanswered,Unanswered,Unanswered,,38,04/27/2020,Silicon Valley Bank,IN-04
b $2-5 million,120-124 NOYES DRIVE OPERATING COMPANY LLC,120-124 Noyes Drive Operating Company LLC,Park Ridge,NJ,7656,623110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,266,04/28/2020,Valley National Bank,NJ-05
"e $150,000-350,000","1200 ARCH, LP",4200 CITY AVE,PHILADELPHIA,PA,19131,721110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,54,04/06/2020,City National Bank of Florida,PA-03
"e $150,000-350,000",1200 ARCHITECTURAL ENGINEERS PLLC,210 N LEE ST suite 210,ALEXANDRIA,VA,22314,541330,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,15,04/27/2020,Burke & Herbert Bank & Trust Company,VA-08
b $2-5 million,1200 LOUISIANA TENANT LLC,1200 Louisiana St.,HOUSTON,TX,77002,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,285,04/12/2020,KeyBank National Association,TX-18
"e $150,000-350,000",1200 S. COFFEE LLC,1200 S COLLEGE AVE,FORT COLLINS,CO,80524,311920,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,50,04/08/2020,FirstBank,CO-04
"e $150,000-350,000","1202 ON BRICKELL BAY, LLC",999 Brickell Bay Drive 1202,Miami,FL,33131,721191,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,5,05/11/2020,"Kabbage, Inc.",FL-27
"d $350,000-1 million","1204 HOTEL OPERATING, LLC",700 N Grant Suite 600,ODESSA,TX,79761,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,89,04/09/2020,Frost Bank,TX-11
c $1-2 million,12072 TRASK INC.,12072 Trask Ave,Garden Grove,CA,92843,623110,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,4,04/16/2020,First Republic Bank,CA-47
"e $150,000-350,000",1209 RECORDS LLC,1209 TreeTrail Pkwy,Norcross,GA,30093,711510,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,33,06/24/2020,"Kabbage, Inc.",GA-04
"e $150,000-350,000",120VC,11601 Wilshire Blvd,LOS ANGELES,CA,90025,541519,Corporation,Unanswered,Unanswered,Unanswered,,11,04/13/2020,KeyBank National Association,CA-37
"e $150,000-350,000",121 CENTRAL PHARMACY CORP,121 KENT AVE,BROOKLYN,NY,11249,446110,Corporation,Unanswered,Unanswered,Unanswered,,0,04/30/2020,Bank Five Nine,NY-12
"d $350,000-1 million",121 COMPADRES LTD,5250 Hwy 121,COLLEYVILLE,TX,76034,541219,Partnership,Hispanic,Male Owned,Non-Veteran,,,04/28/2020,Simmons Bank,TX-24
"e $150,000-350,000","121 POB, LP",121 Alamo Plaza,SAN ANTONIO,TX,78205,722410,Corporation,White,Male Owned,Non-Veteran,,40,04/14/2020,Fidelity Bank,TX-35
"e $150,000-350,000","121 RIVER STREET, LLC",600 Warren Avenue,Spring Lake,NJ,7762,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,05/03/2020,"TD Bank, National Association",NJ-04
"d $350,000-1 million",121 W 45TH ST RESTAURANT CORP,121 West 45th Street,New York,NY,10036,722410,Corporation,Unanswered,Unanswered,Unanswered,,59,04/28/2020,Legacy Bank,NY-12
"d $350,000-1 million","1210 MCGAVOCK STREET HOSPITALITY PARTNERS, LLC",1210 MCGAVOCK STREET,NASHVILLE,TN,37203,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,85,04/09/2020,First Horizon Bank,TN-05
"e $150,000-350,000","1211 BAKE OPERATING, LLC",1211 6th Avenue,NEW YORK,NY,10036,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26,05/28/2020,Valley National Bank,NY-12
"e $150,000-350,000",1211 WPR MEDICAL SERVICES PC,660 White Plains Road Suite 525,Tarrytown,NY,10591,561110,Corporation,Unanswered,Unanswered,Unanswered,,13,04/15/2020,Popular Bank,NY-17
"e $150,000-350,000",1212 SENIOR CARE INC,14200 Gulf FWY Ste 222,Houston,TX,77034,624120,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,79,04/10/2020,Third Coast Bank SSB,TX-22
"e $150,000-350,000","1213 HOSPITALITY, LLC",1708 N JACKSON ST,TULLAHOMA,TN,37388,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/10/2020,SmartBank,TN-04
"e $150,000-350,000","1213 U STREET, LLC","1001 H Street, NE",Washington,DC,20002,722511,Corporation,Unanswered,Male Owned,Unanswered,,48,04/27/2020,"City First Bank of D.C., National Association",DC-00
"e $150,000-350,000",1215 CT LLC,1215 Connecticut Avenue Northwest,Washington,DC,20036,722410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,65,04/14/2020,Manufacturers and Traders Trust Company,DC-00
"e $150,000-350,000","1215 HOTEL OPERATING, LLC",700 N GRANT AVE suite 600,ODESSA,TX,79761,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,39,04/09/2020,Frost Bank,TX-11
"e $150,000-350,000",1218 INC,4112 SWISS AVE,DALLAS,TX,75204,541618,Corporation,Unanswered,Unanswered,Unanswered,,10,04/16/2020,"JPMorgan Chase Bank, National Association",TX-30
"d $350,000-1 million","1218 WISC., INC.",1218 WISCONSIN AVE NW,WASHINGTON,DC,20007,722511,Corporation,Unanswered,Unanswered,Unanswered,,64,04/27/2020,EagleBank,DC-00
"e $150,000-350,000",121G CONSULTING LLC,121 GREENWAY BLVD,CARROLLTON,GA,30117,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,05/03/2020,"Bank of America, National Association",GA-03
"e $150,000-350,000",122 FOUNTAIN STREET MT LLC,122 Fountain St,Providence,RI,2903,531390,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/15/2020,Live Oak Banking Company,RI-01
"d $350,000-1 million",122 MEAT MARKET INC.,122 Mott Street,New York,NY,10013,445299,Corporation,Unanswered,Unanswered,Unanswered,,77,05/17/2020,WebBank,NY-10
"e $150,000-350,000",1220 ASSOCIATES LLC,1220 20th Street,MIAMI BEACH,FL,33139,713940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28,04/13/2020,City National Bank of Florida,FL-24
c $1-2 million,"1220 EXHIBITS, INCORPORATED",3801 Vulcan Drive,NASHVILLE,TN,37211,238990,Corporation,Unanswered,Unanswered,Unanswered,,72,04/28/2020,First Home Bank,TN-05
"d $350,000-1 million","1220 MANAGEMENT GROUP, LLC",1220 16TH ST,MIAMI BEACH,FL,33139,561110,Partnership,Unanswered,Unanswered,Unanswered,,58,05/01/2020,"JPMorgan Chase Bank, National Association",FL-24
"e $150,000-350,000",12209 MITCHELL INC.,255 West Mitchell Avenue,Cincinnati,OH,45232,722511,Corporation,Unanswered,Unanswered,Unanswered,,0,04/27/2020,"CFBank, National Association",OH-01
"e $150,000-350,000",1221 FTELEY FOOD CORP,1221 Fteley Ave.,BRONX,NY,10472,445110,Corporation,Unanswered,Male Owned,Non-Veteran,,45,04/12/2020,Popular Bank,NY-15
c $1-2 million,"12232 CHAPMAN AVE, INC.",12232 CHAPMAN AVE,GARDEN GROVE,CA,92840,623110,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,,,04/13/2020,Farmers & Merchants Bank of Long Beach,CA-47
"e $150,000-350,000",1224 COTTONWOOD ASSOCIATES,1224 Cottonwood Street,WOODLAND,CA,95695,623312,Partnership,Unanswered,Unanswered,Unanswered,,125,04/13/2020,First Northern Bank of Dixon,CA-03
"e $150,000-350,000","1227 EAST MARKET STREET, INC.",367 Fairway Drive Northeast,Warren,OH,44483,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,04/28/2020,"Fund-Ex Solutions Group, LLC",OH-13
"e $150,000-350,000",1228 THIRTY SIXTH AVENUE LLC,3758 Grand Avenue Ste. 54,Oakland,CA,94610,453998,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,13,04/15/2020,"Readycap Lending, LLC",CA-13
"e $150,000-350,000",1229 LLC DBA GREEK EATS,1229 1ST AVE,NEW YORK,NY,10065,,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,22,05/01/2020,"JPMorgan Chase Bank, National Association",NY-12
"e $150,000-350,000",123 BROADWAY PARTNERS LLC,111 Santa Monica Blvd,SANTA MONICA,CA,90401,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,35,04/27/2020,MainStreet Bank,CA-33
"e $150,000-350,000",123 COMMERCIAL CLEANING COMPANY INC,2544 s 16th ave,Broadview,IL,60155,531311,Corporation,Unanswered,Unanswered,Unanswered,,8,07/27/2020,"Kabbage, Inc.",IL-07
"e $150,000-350,000","123 GROW CHILD CENTER, INC.",48 BARRE RD,HUBBARDSTON,MA,1452,624410,Corporation,White,Female Owned,Non-Veteran,,49,04/06/2020,Hometown Bank,MA-02
"e $150,000-350,000",123 HERKIMER LLC,37 Eden Lane,Levittown,NY,11756,531210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/29/2020,Celtic Bank Corporation,NY-02
"d $350,000-1 million",123 IMRAN CORP,5229 35th ST,Long Island City,NY,11101,485320,Corporation,Unanswered,Unanswered,Unanswered,,15,05/04/2020,American Express National Bank,NY-12
"e $150,000-350,000",123 JUNK,"4451 Brookfield Corporate Drive, #200",Chantilly,VA,20151,453998,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,38,04/15/2020,"Readycap Lending, LLC",VA-10
"e $150,000-350,000",123 MADISON LLC DBA GOLDEN DINER,GOLDEN DINER 123 MADISON ST,NEW YORK,NY,10002,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/12/2020,"JPMorgan Chase Bank, National Association",NY-12
"d $350,000-1 million",123 MOVING AND STORAGE LLC,13401 S MAIN ST,LOS ANGELES,CA,90061,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,38,05/01/2020,"JPMorgan Chase Bank, National Association",CA-44
"e $150,000-350,000",123 STITCH INC,14852 Heritagecrest Way,Bluffdale,UT,84065,453998,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/30/2020,Celtic Bank Corporation,UT-04
"d $350,000-1 million",123 WASH INC,1020 Northeast 44th Street,Oakland Park,FL,33334,561790,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,40,04/16/2020,"Readycap Lending, LLC",FL-22
b $2-5 million,123 WASHINGTON LLC,"3 COLUMBUS CIR, 26TH FLOOR",NEW YORK,NY,10019,721110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,0,06/05/2020,Signature Bank,NY-10
"d $350,000-1 million",123 WEST 45TH REST CORP,123 W. 45TH ST,NEW YORK,NY,10036,722511,Corporation,Unanswered,Unanswered,Unanswered,,39,04/30/2020,Fountainhead SBF LLC,NY-12
"e $150,000-350,000","123-10 SOUTH CONDUIT ASSOCIATES, LLC",12310 S CONDUIT AVE,SOUTH OZONE PARK,NY,11420,447190,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,04/11/2020,"TD Bank, National Association",NY-05
b $2-5 million,"123.NET, INC.","24700 Northwestner Highway, Suite 700",Southfield,MI,48075,541512,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,04/10/2020,Level One Bank,MI-14
"e $150,000-350,000",1230 MANAGEMENT CORPORATION,346 CONGRESS ST,BOSTON,MA,2210,722511,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,,04/30/2020,Cambridge Savings Bank,MA-08
"e $150,000-350,000","1230 ROUTE 22 RESTAURANT, LLC",1230 Route 22 West,MOUNTAINSIDE,NJ,7092,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32,04/14/2020,Unity Bank,NJ-07
c $1-2 million,1231 MARKET STREET OWNER L.P.,"c/o RFR Holding LLC, 390 Park Avenue 3rd Floor",New York,NY,10022,712110,Limited Liability Partnership,Unanswered,Female Owned,Unanswered,,119,04/13/2020,"Modern Bank, National Association",NY-12
"e $150,000-350,000","1234 M DIVISION STREET, INC.","4083 West Avenue L., Suite 355",Lancaster,CA,95356,453998,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,38,04/15/2020,"Readycap Lending, LLC",CA-10
"e $150,000-350,000",1236 SECOND AVENUE REST CORP,1236 Second Avenue,New York,NY,10065,722511,Corporation,Unanswered,Unanswered,Unanswered,,43,05/03/2020,Customers Bank,NY-12
"e $150,000-350,000",1237 WEST LLC,1611 W DIVISION ST SUITE 201,CHICAGO,IL,60622,531311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/07/2020,"Crystal Lake Bank & Trust Company, National Association",IL-04
"d $350,000-1 million",1239 HYLAN BLVD AUTO LLC,1239 Hylan Blvd 0.0,Staten Island,NY,10305,441110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,64,04/09/2020,"JPMorgan Chase Bank, National Association",NY-11
"e $150,000-350,000",1239 OPERATING CORP,1235 BROADWAY,NEW YORK,NY,10001,531120,Corporation,Unanswered,Unanswered,Unanswered,,28,04/14/2020,"Newtek Small Business Finance, Inc.",NY-10
"e $150,000-350,000",123PCB CORPORATION DBA NETWORK PCB,2360 QUME DRIVE SUITE F,SAN JOSE,CA,95131,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,20,05/03/2020,"Citibank, N.A.",CA-17
"e $150,000-350,000",123WS COM,13725 BRITTLE RD,ALPHARETTA,GA,30004,111998,Corporation,Unanswered,Unanswered,Unanswered,,5,05/03/2020,"Bank of America, National Association",GA-06
"d $350,000-1 million","124 GRAND HOLDINGS, INC",5860 ALDER AVE STE 500,SACRAMENTO,CA,95828,551112,Corporation,Unanswered,Male Owned,Non-Veteran,,34,05/01/2020,"JPMorgan Chase Bank, National Association",CA-06
"e $150,000-350,000",124 N HADDON LLC,124 N. Haddon Avenue,COLLINGSWOOD,NJ,8108,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,52,04/07/2020,Customers Bank,NJ-01
c $1-2 million,"12400 GREENSPOINT HOTEL, LLC",11770 US HIGHWAY 1 Suite 202,NORTH PALM BEACH,FL,33408,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,161,04/15/2020,Flagler Bank,FL-18
"e $150,000-350,000",1244 OCEAN DRIVE LLC,1244 ocean drive,MIAMI BEACH,FL,33139,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,55,04/06/2020,City National Bank of Florida,FL-24
"e $150,000-350,000",1247 CASTLE HILL AVENUE RESTAURANT LLC,1247 Castle Hill Avenue,Bronx,NY,10462,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,40,04/15/2020,Savoy Bank,NY-14
"d $350,000-1 million",1249 GOURMET DELI INC,1249 SUTTER AVE,BROOKLYN,NY,11208,424410,Corporation,Unanswered,Unanswered,Unanswered,,24,07/21/2020,"Kabbage, Inc.",NY-08
